Country Name;Country Code;Indicator Name;Indicator Code;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
1103;ADALAR;Population, total;SP.POP.TOTL;14714;14449;14590;15116;15315;15341;15342;15491;15716;15835;15836;15859;16062;16072
1166;BAKIRKÖY;Population, total;SP.POP.TOTL;218172;216009;216454;217844;217936;215141;214681;215210;216009;214634;214646;214748;216416;216839
1183;BEŞİKTAŞ;Population, total;SP.POP.TOTL;172330;171486;172165;172074;170894;169192;168692;168660;168972;168473;168388;168401;170254;170396
1185;BEYKOZ;Population, total;SP.POP.TOTL;244272;244097;244584;244518;243724;243235;243560;243437;243486;244017;244157;244061;244592;244608
1186;BEYOĞLU;Population, total;SP.POP.TOTL;232729;234169;234756;233894;231735;231318;231315;230564;229415;230915;231641;231575;234336;234368
1237;ÇATALCA;Population, total;SP.POP.TOTL;73999;73776;74220;74421;74745;74952;75241;75612;76101;76283;76509;76542;76665;76697
1325;EYÜPSULTAN;Population, total;SP.POP.TOTL;392984;399566;403998;405935;407075;407617;409897;411307;413282;416025;417892;418189;421059;421574
1327;FATİH;Population, total;SP.POP.TOTL;397176;396037;397317;394820;390957;388019;386561;385083;384230;384514;383893;382063;388367;388140
1336;GAZİOSMANPAŞA;Population, total;SP.POP.TOTL;501822;502891;506145;505315;502465;501618;502863;501805;501218;503495;505478;505445;508446;508612
1421;KADIKÖY;Population, total;SP.POP.TOTL;456527;461843;465524;466048;467184;466640;467625;467924;465791;462911;463335;463711;465246;465535
1449;KARTAL;Population, total;SP.POP.TOTL;463937;466188;468292;468432;468777;469569;470590;470806;472409;474395;475801;476097;477707;477772
1604;SARIYER;Population, total;SP.POP.TOTL;328848;328837;330392;329963;329558;329016;329523;329886;330779;332669;333253;333411;335687;335804
1622;SİLİVRİ;Population, total;SP.POP.TOTL;169601;170816;172032;173346;175431;176740;178473;180013;182360;183917;184415;184551;185845;186031
1659;ŞİLE;Population, total;SP.POP.TOTL;36290;36167;36385;36715;37290;37542;37954;38725;39538;39999;40142;40196;40439;40533
1663;ŞİŞLİ;Population, total;SP.POP.TOTL;262038;262038;264049;263051;261595;259191;258837;258769;259268;261323;262286;262717;265515;265855
1708;ÜSKÜDAR;Population, total;SP.POP.TOTL;520465;518404;519860;518549;515363;511970;511489;509881;510177;511918;511989;512473;514225;514142
1739;ZEYTİNBURNU;Population, total;SP.POP.TOTL;290572;291339;293049;291227;289014;288565;289065;288220;288445;292068;294017;294323;298118;298426
1782;BÜYÜKÇEKMECE;Population, total;SP.POP.TOTL;248761;248568;250930;251821;252931;253563;255594;257252;259881;262138;263717;264508;266551;266915
1810;KAĞITHANE;Population, total;SP.POP.TOTL;447160;448855;450819;450210;447974;448264;449822;449996;451508;456566;458283;458189;461824;462053
1823;KÜÇÜKÇEKMECE;Population, total;SP.POP.TOTL;803071;805709;813406;813776;812112;810491;812377;813070;813403;819034;823534;823698;831792;832474
1835;PENDİK;Population, total;SP.POP.TOTL;708141;712087;717697;720540;722696;725109;729057;731517;735717;740499;743250;744116;746302;746572
1852;ÜMRANİYE;Population, total;SP.POP.TOTL;701278;702000;710840;711773;711395;713157;716385;717256;719958;725036;728044;728890;732276;732623
1886;BAYRAMPAŞA;Population, total;SP.POP.TOTL;276604;275989;276387;276235;274706;273208;273437;273206;273417;274643;275535;275584;277686;278153
2003;AVCILAR;Population, total;SP.POP.TOTL;443084;442461;443947;443325;441175;439783;439456;438530;438035;442390;446073;446902;452927;453578
2004;BAĞCILAR;Population, total;SP.POP.TOTL;779230;779200;783983;782968;777561;774070;776023;776161;776271;778937;782034;780973;789071;789637
2005;BAHÇELİEVLER;Population, total;SP.POP.TOTL;600773;599663;603051;600811;596374;592405;592399;591400;589657;590848;593718;594073;599537;599876
2010;GÜNGÖREN;Population, total;SP.POP.TOTL;292467;291814;291946;289705;286506;285590;285033;283287;281451;283625;284234;283807;285818;285841
2012;MALTEPE;Population, total;SP.POP.TOTL;485267;489187;492843;493830;494122;495089;496790;497113;498515;500838;502684;503070;504545;504736
2014;SULTANBEYLİ;Population, total;SP.POP.TOTL;354837;355955;359153;360502;361702;363010;365253;366215;368463;370782;373026;373356;376282;376365
2015;TUZLA;Population, total;SP.POP.TOTL;259690;261100;265386;267101;269798;270981;274129;275522;277635;279546;281016;281617;282956;283118
2016;ESENLER;Population, total;SP.POP.TOTL;476570;475387;481263;480198;476568;474560;475692;474809;472816;474114;476363;476014;479674;479824
2048;ARNAVUTKÖY;Population, total;SP.POP.TOTL;294554;296417;302288;305042;309200;312298;316500;319234;324114;328552;331391;331532;335711;336311
2049;ATAŞEHİR;Population, total;SP.POP.TOTL;413312;413356;415968;415752;415453;414290;415227;414268;415060;415878;416368;416134;417337;417502
2050;BAŞAKŞEHİR;Population, total;SP.POP.TOTL;458208;468329;474811;477933;481900;485540;490430;494800;500586;508079;512986;514209;522262;523197
2051;BEYLİKDÜZÜ;Population, total;SP.POP.TOTL;339721;345692;350467;354055;359364;362211;366365;369938;376845;383081;387792;389799;393908;394751
